Company,Company,Ticker,Market_Cap,Firm_Efficiency,Recruitment_Rate_Disclosure_Binary,Reported_EE0-1_Binary,Reported_Mean_Gender_Gap_Binary
Lockheed Martin Corporation,Lockheed Martin Corporation,LMT,99578,1.0,0,0,1
Eli Lilly and Co,Eli Lilly and Co,LLY,145887,0.6858,0,0,1
LKQ Corporation,LKQ Corporation,LKQ,10901,0.3568,0,0,0
Laboratory Corp. of America Holdings,Laboratory Corp. of America Holdings,LH,21249,0.4238,0,0,0
Lennar Corporation,Lennar Corporation,LEN,22174,1.0,0,0,0
Leidos Holdings Inc,Leidos Holdings Inc,LDOS,14859,0.5939,0,0,1
Kellogg Company,Kellogg Company,K,21466,0.3305,0,0,1
United Airlines Holdings Inc,United Airlines Holdings Inc,UAL,12552,0.3742,0,0,1
Tyler Technologies  Inc.,Tyler Technologies  Inc.,TYL,19222,0.0005,0,0,0
Texas Instruments Incorporated,Texas Instruments Incorporated,TXN,150288,0.5467,0,0,0
Twitter Inc,Twitter Inc,TWTR,38991,0.0015,0,1,0
Tyson Foods  Inc.,Tyson Foods  Inc.,TSN,24709,0.7531,0,0,0
Kroger Co,Kroger Co,KR,24471,0.8972,0,0,0
Coca-Cola Co,Coca-Cola Co,KO,229608,0.7993,0,1,1
CarMax  Inc,CarMax  Inc,KMX,15581,0.7856,0,0,0
Kinder Morgan Inc,Kinder Morgan Inc,KMI,38236,0.2284,0,0,0
Kimberly Clark Corp,Kimberly Clark Corp,KMB,45107,0.5553,0,0,1
Kraft Heinz Co,Kraft Heinz Co,KHC,41896,0.5471,0,0,1
Keysight Technologies Inc,Keysight Technologies Inc,KEYS,23085,0.0068,0,0,0
Tractor Supply Company,Tractor Supply Company,TSCO,15815,0.603,0,0,0
T. Rowe Price Group Inc,T. Rowe Price Group Inc,TROW,34600,1.0,0,0,1
T-Mobile Us Inc,T-Mobile Us Inc,TMUS,159212,1.0,0,0,0
Thermo Fisher Scientific Inc.,Thermo Fisher Scientific Inc.,TMO,186225,0.7144,0,0,1
Tiffany & Co.,Tiffany & Co.,TIF,15963,0.0007,0,0,1
Target Corporation,Target Corporation,TGT,86451,1.0,0,1,0
Teleflex Incorporated,Teleflex Incorporated,TFX,18206,0.0012,0,0,0
TransDigm Group Incorporated,TransDigm Group Incorporated,TDG,35279,0.0171,0,0,0
